127.0.0.1 - - [26/Sep/2019:12:26:50 +0200] "GET / HTTP/1.1" 404 956
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:31:38 +0200] "GET /t0curso/ejeMasEjer2.jsp HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:28 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:30 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:32 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:32 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:33 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:34 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:34 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:35 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:36 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:37 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:38 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:39 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:50 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:52 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:52 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:45:53 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:06 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:08 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:08 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:09 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:09 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:10 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:10 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:10 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:10 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:10 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:11 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:11 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:46:11 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:55:06 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:55:10 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:55:10 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:55:11 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:55:12 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:55:12 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:55:13 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/Sep/2019:12:55:14 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:01:01 +0200] "GET /t0curso/ejeMasEjer5.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:37 +0200] "GET /t0curso/index.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:41 +0200] "GET /t0curso/eje01.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:42 +0200] "GET /t0curso/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:43 +0200] "GET /t0curso/eje02.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:44 +0200] "GET /t0curso/eje03.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:45 +0200] "GET /t0curso/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:47 +0200] "GET /t0curso/eje04.jsp HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:48 +0200] "GET /t0curso/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:49 +0200] "GET /t0curso/eje04.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:52 +0200] "GET /t0curso/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:53 +0200] "GET /t0curso/eje05.jsp HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:55 +0200] "GET /t0curso/eje05.jsp HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:55 +0200] "GET /t0curso/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:56 +0200] "GET /t0curso/eje06.jsp HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:58 +0200] "GET /t0curso/eje06_2.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:07:59 +0200] "GET /t0curso/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:08:00 +0200] "GET /t0curso/ejerClase.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:08:02 +0200] "GET /t0curso/ejeMasEjer.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:08:04 +0200] "GET /t0curso/ejeMasEjer2.jsp HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:08:05 +0200] "GET /t0curso/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:08:06 +0200] "GET /t0curso/ejeMasEjer3.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:08:08 +0200] "GET /t0curso/ejeMasEjer4.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:08:10 +0200] "GET /t0curso/ejeMasEjer5.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [26/Sep/2019:13:08:12 +0200] "GET /t0curso/index.html HTTP/1.1" 304 -
